Rank,Reg_rank,University,Score,Alumni 
0,1,harvard university,1,100.0
1,2,stanford university,2,45.2
2,3,university of cambridge,1,80.7
3,4,massachusetts institute of technology (mit),3,72.0
4,5,university of california berkeley,4,67.1
5,6,princeton university,5,59.6
6,7,university of oxford,2,48.9
7,8,columbia university,6,61.4
8,9,california institute of technology,7,52.3
9,10,university of chicago,8,59.6
10,11,university of california los angeles,9-10,28.6
11,11,yale university,9-10,47.6
12,13,cornell university,11,43.8
13,14,university of washington,12,24.4
14,15,university college london,3,26.9
15,16,johns hopkins university,13,36.8
16,17,university of pennsylvania,14,31.2
17,18,university of california san diego,15,19.4
18,19,swiss federal institute of technology zurich,1,28.6
19,20,university of california san francisco,16-17,0.0
20,20,university of michigan-ann arbor,16-17,33.6
21,22,washington university in st. louis,18,22.4
22,23,imperial college london,4,13.7
23,24,university of toronto,1,17.7
24,25,the university of tokyo,1,37.6
25,26,university of copenhagen,1,20.2
26,27,university of wisconsin - madison,19,30.2
27,28,duke university,20,14.8
28,29,northwestern university,21,13.7
29,30,new york university,22,28.6
30,31,the university of edinburgh,5,27.5
31,32,kyoto university,2,33.6
32,33,the university of manchester,6,15.9
33,33,university of north carolina at chapel hill,23,7.9
34,35,rockefeller university,24,16.8
35,35,university of british columbia,2,14.8
36,37,university of paris-sud (paris 11),1,29.4
37,38,karolinska institute,1,24.4
38,38,university of colorado at boulder,25-26,12.5
39,38,university of illinois at urbana-champaign,25-26,27.5
40,41,the university of melbourne,1,15.9
41,41,university of minnesota twin cities,27,28.0
42,43,tsinghua university,1,9.7
43,44,sorbonne university,2,35.6
44,45,the university of texas at austin,28,25.1
45,46,university of maryland college park,29,18.6
46,47,heidelberg university,1,19.4
47,48,university of california santa barbara,30,14.8
48,49,the university of texas southwestern medical center at dallas,31,18.6
49,49,utrecht university,1,22.4
50,51,king's college london,7,21.0
51,52,university of munich,2,26.9
52,53,peking university,2,11.2
53,54,the university of queensland,2,12.5
54,55,university of southern california,32-33,0.0
55,55,vanderbilt university,32-33,14.8
56,57,technical university munich,3,36.8
57,58,university of geneva,2,29.7
58,59,university of oslo,1,26.9
59,60,aarhus university,2,11.2
60,61,university of zurich,3,0.0
61,62,uppsala university,2,15.9
62,63,university of helsinki,1,16.8
63,64,university of bristol,8,5.6
64,65,university of groningen,2,13.7
65,66,ghent university,1,0.0
66,67,national university of singapore,1,0.0
67,68,erasmus university rotterdam,3,0.0
68,68,the university of texas m. d. anderson cancer center,34,0.0
69,70,university of bonn,4,23.8
70,70,zhejiang university,3,0.0
71,72,purdue university - west lafayette,35,12.5
72,73,monash university,3,0.0
73,73,nanyang technological university,2,0.0
74,73,stockholm university,3,22.4
75,76,boston university,36,11.2
76,76,the australian national university,4,13.7
77,78,swiss federal institute of technology lausanne,4,0.0
78,79,ecole normale superieure - paris,3,48.2
79,80,university of california irvine,37,0.0
80,80,university of sydney,5,13.7
81,82,leiden university,4,15.9
82,82,shanghai jiao tong university,4,0.0
83,84,brown university,38,14.8
84,85,ku leuven,2,0.0
85,85,technion-israel institute of technology,1,23.8
86,87,moscow state university,1,40.8
87,87,university of basel,5,23.1
88,89,university of pittsburgh pittsburgh campus,39,17.7
89,90,mcgill university,3-4,32.2
90,90,mcmaster university,3-4,19.4
91,90,nagoya university,3,29.1
92,90,university of california davis,40,0.0
93,94,the university of new south wales,6,0.0
94,95,carnegie mellon university,41-43,31.2
95,95,rice university,41-43,15.9
96,95,university of florida,41-43,16.8
97,98,pennsylvania state university - university park,44,9.7
98,99,the university of western australia,7,13.7
99,100,the ohio state university - columbus,45,11.2
100,101-150,aix marseille university,4-7,12.5
101,101-150,arizona state university,46-58,0.0
102,101-150,baylor college of medicine,46-58,0.0
103,101-150,cardiff university,9-16,0.0
104,101-150,case western reserve university,46-58,32.2
105,101-150,emory university,46-58,0.0
106,101-150,fudan university,5-8,0.0
107,101-150,georgia institute of technology,46-58,12.5
108,101-150,huazhong university of science and technology,5-8,0.0
109,101-150,icahn school of medicine at mount sinai,46-58,0.0
110,101-150,indiana university bloomington,46-58,9.7
111,101-150,king abdulaziz university,1,0.0
112,101-150,lund university,4,19.4
113,101-150,mayo medical school,46-58,0.0
114,101-150,michigan state university,46-58,7.9
115,101-150,norwegian university of science and technology - ntnu,2,12.5
116,101-150,radboud university nijmegen,5-7,16.8
117,101-150,rutgers the state university of new jersey - new brunswick,46-58,7.9
118,101-150,seoul national university,1,0.0
119,101-150,sun yat-sen university,5-8,0.0
120,101-150,technical university of denmark,3,0.0
121,101-150,the chinese university of hong kong,1-2,0.0
122,101-150,the hebrew university of jerusalem,2-3,32.2
123,101-150,the university of adelaide,8,13.7
124,101-150,the university of hong kong,1-2,0.0
125,101-150,the university of sheffield,9-16,17.7
126,101-150,tohoku university,4-5,14.8
127,101-150,tokyo institute of technology,4-5,12.5
128,101-150,université grenoble alpes,4-7,12.5
129,101-150,university of alberta,5,11.2
130,101-150,university of amsterdam,5-7,0.0
131,101-150,university of arizona,46-58,14.8
132,101-150,university of bern,6,12.5
133,101-150,university of birmingham,9-16,17.7
134,101-150,university of california santa cruz,46-58,0.0
135,101-150,university of frankfurt,5-7,30.2
136,101-150,university of freiburg,5-7,22.4
137,101-150,university of goettingen,5-7,29.7
138,101-150,university of leeds,9-16,16.8
139,101-150,university of liverpool,9-16,15.9
140,101-150,university of nottingham,9-16,20.2
141,101-150,university of sao paulo,1,0.0
142,101-150,university of science and technology of china,5-8,0.0
143,101-150,university of southampton,9-16,0.0
144,101-150,university of strasbourg,4-7,28.0
145,101-150,university of utah,46-58,0.0
146,101-150,university of warwick,9-16,13.7
147,101-150,university paris diderot - paris 7,4-7,10.6
148,101-150,vu university amsterdam,5-7,0.0
149,101-150,weizmann institute of science,2-3,17.7
150,151-200,catholic university of louvain,3-4,9.7
151,151-200,central south university,9-17,0.0
152,151-200,delft university of technology,8-9,11.2
153,151-200,harbin institute of technology,9-17,0.0
154,151-200,hokkaido university,6-7,11.2
155,151-200,king saud university,2,0.0
156,151-200,london school of economics and political science,17-21,23.8
157,151-200,nanjing university,9-17,0.0
158,151-200,national taiwan university,1,11.2
159,151-200,osaka university,6-7,7.9
160,151-200,queen mary university of london,17-21,16.8
161,151-200,sapienza university of rome,1-3,9.7
162,151-200,sichuan university,9-17,0.0
163,151-200,soochow university (china),9-17,0.0
164,151-200,southeast university,9-17,0.0
165,151-200,sungkyunkwan university,2,0.0
166,151-200,tel aviv university,4,0.0
167,151-200,texas a&m university,59-66,0.0
168,151-200,the university of calgary,6-9,0.0
169,151-200,the university of glasgow,17-21,5.6
170,151-200,trinity college dublin,1,13.7
171,151-200,tufts university,59-66,18.6
172,151-200,université libre de bruxelles (ulb),3-4,19.4
173,151-200,university of barcelona,1,0.0
174,151-200,university of california riverside,59-66,12.5
175,151-200,university of cologne,8-10,0.0
176,151-200,university of electronic science and technology of china,9-17,0.0
177,151-200,university of exeter,17-21,0.0
178,151-200,university of gothenburg,5,0.0
179,151-200,university of lausanne,7,12.5
180,151-200,university of lisbon,1,0.0
181,151-200,university of massachusetts amherst,59-66,13.7
182,151-200,university of massachusetts medical school - worcester,59-66,0.0
183,151-200,university of milan,1-3,16.8
184,151-200,university of missouri - columbia,59-66,7.9
185,151-200,university of montpellier,8-9,9.7
186,151-200,university of montreal,6-9,11.2
187,151-200,university of muenster,8-10,19.4
188,151-200,university of ottawa,6-9,0.0
189,151-200,university of paris descartes (paris 5),8-9,10.6
190,151-200,university of pisa,1-3,21.0
191,151-200,university of rochester,59-66,31.2
192,151-200,university of sussex,17-21,0.0
193,151-200,university of tuebingen,8-10,22.4
194,151-200,university of vienna,1,11.2
195,151-200,university of virginia,59-66,0.0
196,151-200,university of wageningen,8-9,0.0
197,151-200,university of waterloo,6-9,0.0
198,151-200,wuhan university,9-17,0.0
199,151-200,xian jiaotong university,9-17,0.0
200,201-300,aalborg university,4,0.0
201,201-300,autonomous university of barcelona,2-5,0.0
202,201-300,beihang university,18-27,0.0
203,201-300,beijing normal university,18-27,15.9
204,201-300,charles university in prague,1,0.0
205,201-300,city university of hong kong,3-5,0.0
206,201-300,claude bernard university lyon 1,10-13,9.7
207,201-300,colorado state university,67-94,0.0
208,201-300,complutense university of madrid,2-5,17.7
209,201-300,curtin university,9-15,0.0
210,201-300,dalhousie university,10-12,12.5
211,201-300,dalian university of technology,18-27,0.0
212,201-300,deakin university,9-15,0.0
213,201-300,durham university,22-26,0.0
214,201-300,florida state university,67-94,0.0
215,201-300,george mason university,67-94,0.0
216,201-300,iowa state university,67-94,0.0
217,201-300,james cook university,9-15,0.0
218,201-300,jilin university,18-27,0.0
219,201-300,karlsruhe institute of technology (kit),11-21,0.0
220,201-300,king abdullah university of science and technology,3,0.0
221,201-300,korea advanced institute of science and technology,3-5,0.0
222,201-300,korea university,3-5,0.0
223,201-300,kth royal institute of technology,6,0.0
224,201-300,kyushu university,8-9,0.0
225,201-300,laval university,10-12,0.0
226,201-300,london school of hygiene & tropical medicine,22-26,5.6
227,201-300,maastricht university,10,0.0
228,201-300,macquarie university,9-15,0.0
229,201-300,medical university of vienna,2-3,7.9
230,201-300,nankai university,18-27,0.0
231,201-300,national autonomous university of mexico,1,12.5
232,201-300,newcastle university,22-26,0.0
233,201-300,north carolina state university - raleigh,67-94,0.0
234,201-300,northeastern university (boston),67-94,0.0
235,201-300,oregon health and science university,67-94,0.0
236,201-300,oregon state university,67-94,7.9
237,201-300,paul sabatier university (toulouse 3),10-13,0.0
238,201-300,polytechnic institute of milan,4-8,5.6
239,201-300,rwth aachen university,11-21,0.0
240,201-300,shandong university,18-27,0.0
241,201-300,south china university of technology,18-27,0.0
242,201-300,stony brook university,67-94,0.0
243,201-300,the george washington university,67-94,11.2
244,201-300,the hong kong polytechnic university,3-5,0.0
245,201-300,the hong kong university of science and technology,3-5,0.0
246,201-300,the university of auckland,1,13.7
247,201-300,the university of georgia,67-94,0.0
248,201-300,the university of texas health science center at houston,67-94,0.0
249,201-300,tianjin university,18-27,0.0
250,201-300,tongji university,18-27,0.0
251,201-300,tu dresden,11-21,0.0
252,201-300,university of aberdeen,22-26,0.0
253,201-300,university of alabama at birmingham,67-94,0.0
254,201-300,university of antwerp,5-7,0.0
255,201-300,university of bologna,4-8,0.0
256,201-300,university of bordeaux,10-13,0.0
257,201-300,university of buenos aires,1,12.5
258,201-300,university of cape town,1-2,17.7
259,201-300,university of connecticut,67-94,11.2
260,201-300,university of delaware,67-94,9.7
261,201-300,university of duesseldorf,11-21,11.2
262,201-300,university of east anglia,22-26,19.4
263,201-300,university of erlangen-nuremberg,11-21,0.0
264,201-300,university of florence,4-8,0.0
265,201-300,university of granada,2-5,0.0
266,201-300,university of hamburg,11-21,9.7
267,201-300,university of hawaii at manoa,67-94,0.0
268,201-300,university of houston,67-94,0.0
269,201-300,university of illinois at chicago,67-94,0.0
270,201-300,university of innsbruck,2-3,0.0
271,201-300,university of iowa,67-94,0.0
272,201-300,university of kansas,67-94,17.7
273,201-300,university of kiel,11-21,7.9
274,201-300,university of leipzig,11-21,9.7
275,201-300,university of liege,5-7,5.6
276,201-300,university of mainz,11-21,0.0
277,201-300,university of maryland baltimore,67-94,0.0
278,201-300,university of miami,67-94,0.0
279,201-300,university of nebraska - lincoln,67-94,15.9
280,201-300,university of padua,4-8,0.0
281,201-300,university of south florida,67-94,0.0
282,201-300,university of tasmania,9-15,0.0
283,201-300,university of technology sydney,9-15,0.0
284,201-300,university of tennessee - knoxville,67-94,9.7
285,201-300,university of the witwatersrand,1-2,17.7
286,201-300,university of toulouse 1,10-13,0.0
287,201-300,university of tsukuba,8-9,0.0
288,201-300,university of turin,4-8,13.7
289,201-300,university of ulm,11-21,0.0
290,201-300,university of valencia,2-5,0.0
291,201-300,university of wollongong,9-15,0.0
292,201-300,university of wuerzburg,11-21,19.4
293,201-300,virginia commonwealth university,67-94,9.7
294,201-300,virginia polytechnic institute and state university,67-94,11.2
295,201-300,vrije universiteit brussel (vub),5-7,13.7
296,201-300,western university,10-12,0.0
297,201-300,xiamen university,18-27,0.0
298,201-300,yeshiva university,67-94,0.0
299,201-300,yonsei university,3-5,0.0
300,301-400,aalto university,2-4,0.0
301,301-400,autonomous university of madrid,6-7,0.0
302,301-400,beijing institute of technology,28-39,0.0
303,301-400,brandeis university,95-116,19.4
304,301-400,cairo university,1,18.6
305,301-400,capital medical university,28-39,0.0
306,301-400,chalmers university of technology,7-9,0.0
307,301-400,china agricultural university,28-39,0.0
308,301-400,china medical university (taichung),2-3,0.0
309,301-400,chongqing university,28-39,0.0
310,301-400,dartmouth college,95-116,16.8
311,301-400,drexel university,95-116,0.0
312,301-400,east china university of science and technology,28-39,0.0
313,301-400,ecole normale superieure - lyon,14-19,16.8
314,301-400,ecole polytechnique,14-19,21.7
315,301-400,eindhoven university of technology,11,0.0
316,301-400,espci paristech,14-19,5.6
317,301-400,federal university of rio de janeiro,2-4,0.0
318,301-400,georgetown university,95-116,0.0
319,301-400,griffith university,16-21,0.0
320,301-400,hannover medical school,22-27,0.0
321,301-400,hanyang university,6-8,0.0
322,301-400,hunan university,28-39,0.0
323,301-400,indiana university-purdue university at indianapolis,95-116,0.0
324,301-400,jagiellonian university,1,9.7
325,301-400,kansas state university,95-116,0.0
326,301-400,keio university,10,0.0
327,301-400,kyung hee university,6-8,0.0
328,301-400,la trobe university,16-21,0.0
329,301-400,lancaster university,27-34,0.0
330,301-400,lanzhou university,28-39,0.0
331,301-400,linkoping university,7-9,0.0
332,301-400,louisiana state university - baton rouge,95-116,0.0
333,301-400,nanjing university of science and technology,28-39,0.0
334,301-400,national and kapodistrian university of athens,1,0.0
335,301-400,national cheng kung university,2-3,0.0
336,301-400,northwestern polytechnical university,28-39,0.0
337,301-400,paris dauphine university (paris 9),14-19,21.0
338,301-400,pompeu fabra university,6-7,0.0
339,301-400,queen's university,13-18,0.0
340,301-400,queen's university belfast,27-34,17.7
341,301-400,queensland university of technology,16-21,0.0
342,301-400,rensselaer polytechnic institute,95-116,12.5
343,301-400,rmit university,16-21,0.0
344,301-400,saint petersburg state university,2,25.1
345,301-400,shenzhen university,28-39,0.0
346,301-400,simon fraser university,13-18,0.0
347,301-400,swedish university of agricultural sciences,7-9,0.0
348,301-400,swinburne university of technology,16-21,0.0
349,301-400,technical university of berlin,22-27,13.7
350,301-400,temple university,95-116,0.0
351,301-400,the university of dundee,27-34,0.0
352,301-400,the university of new mexico - albuquerque,95-116,0.0
353,301-400,the university of reading,27-34,0.0
354,301-400,the university of texas at dallas,95-116,13.7
355,301-400,the university of texas health science center at san antonio,95-116,0.0
356,301-400,ulsan national institute of science and technology,6-8,0.0
357,301-400,unesp,2-4,0.0
358,301-400,university at buffalo the state university of new york,95-116,0.0
359,301-400,university college dublin,2,0.0
360,301-400,university of bergen,3,0.0
361,301-400,university of bochum,22-27,0.0
362,301-400,university of campinas,2-4,0.0
363,301-400,university of central florida,95-116,0.0
364,301-400,university of cincinnati,95-116,0.0
365,301-400,university of colorado at denver,95-116,0.0
366,301-400,university of duisburg-essen,22-27,0.0
367,301-400,university of guelph,13-18,0.0
368,301-400,university of jena,22-27,0.0
369,301-400,university of kentucky,95-116,9.7
370,301-400,university of leicester,27-34,0.0
371,301-400,university of lille,14-19,0.0
372,301-400,university of lorraine,14-19,11.2
373,301-400,university of malaya,1,0.0
374,301-400,university of manitoba,13-18,0.0
375,301-400,university of naples federico ii,9-10,0.0
376,301-400,university of notre dame,95-116,12.5
377,301-400,university of oregon,95-116,5.6
378,301-400,university of otago,2-3,0.0
379,301-400,university of oulu,2-4,11.2
380,301-400,university of pavia,9-10,0.0
381,301-400,university of porto,2,0.0
382,301-400,university of saskatchewan,13-18,7.9
383,301-400,university of science and technology beijing,28-39,0.0
384,301-400,university of south carolina - columbia,95-116,0.0
385,301-400,university of southern denmark,5,0.0
386,301-400,university of st andrews,27-34,9.7
387,301-400,university of stuttgart,22-27,18.6
388,301-400,university of surrey,27-34,0.0
389,301-400,university of tartu,1,0.0
390,301-400,university of tehran,1,12.5
391,301-400,university of turku,2-4,0.0
392,301-400,university of vermont,95-116,13.7
393,301-400,university of victoria,13-18,0.0
394,301-400,university of western sydney,16-21,0.0
395,301-400,university of york,27-34,0.0
396,301-400,victoria university of wellington,2-3,11.2
397,301-400,vienna university of technology,4,0.0
398,301-400,washington state university,95-116,0.0
399,301-400,wuhan university of technology,28-39,0.0
400,401-500,aristotle university of thessaloniki,2,0.0
401,401-500,bar-ilan university,5-6,0.0
402,401-500,beijing university of chemical technology,40-58,0.0
403,401-500,ben-gurion university of the negev,5-6,0.0
404,401-500,boston college,117-137,0.0
